latitude,longitude
21.149864414098555,79.08252130920077
21.14908422132771,79.08273425304064
21.149066929649106,79.08343356225457
21.149614707128585,79.0822146708905
21.14992734111182,79.08287009760144
21.149068141247774,79.08283698542641
21.149599701578754,79.08298463220227
21.150172690549653,79.08252996865771
21.149435908918843,79.08258890283516
21.14920075347047,79.08251828546732
21.150041609391895,79.08236514722567
21.149682474210255,79.08265528192605
21.14903899728192,79.08319668044717
21.149933545112173,79.08240904428018
21.149671440662733,79.08294782867425
21.149672475587145,79.08243634021093
21.149296070302505,79.08222302290024
21.150327892898535,79.08259333726757
21.15020466321938,79.08305240433144
21.149759386542463,79.0826054439902
21.14989601021947,79.08327858731431
21.149185155823208,79.08323680606438
21.14996687368432,79.08258001110521
21.150339218226414,79.08312271382772
21.14900467658167,79.08346424977049
21.149045257123564,79.08254380683609
21.14932573133814,79.08236697214596
21.14971956868505,79.08227131163697
21.1498246560501,79.08227010018022
21.149369870385957,79.08300156700713
21.13289802745213,79.06136185031738
21.132904444980745,79.06161525882885
21.132008862820243,79.06214146107993
21.13312024482704,79.06190743055258
21.132293345800523,79.06256538299756
21.13238901565856,79.06250552930082
21.131972357603733,79.06216610818392
21.131997462413054,79.06182953659362
21.13226075337389,79.06191591096844
21.13283186927011,79.06258566365253
21.13216025340463,79.061773469799
21.1326179517377,79.06181771556187
21.133010025584376,79.06170849275016
21.132588588360477,79.06130403027758
21.132803531120704,79.06187832159719
21.13236852832872,79.0621160533601
21.13239151390241,79.06237201286265
21.132766288108176,79.06195162947249
21.132962653587107,79.06257569658287
21.133066974999274,79.06268776394262
21.13261217548971,79.06179881643082
21.133191618778262,79.06168211985904
21.132562486861442,79.06193798700163
21.132376509912675,79.06150516105963
21.13267814334468,79.06265543155288
21.133131451418823,79.06229356617817
21.131929956981068,79.0616950631017
21.13282565473873,79.06262921054294
21.13308416180573,79.06234889371768
21.132790301564594,79.06154975256742
21.09104270356355,79.0816146402406
21.092070229507634,79.08241694982196
